Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc03__rec0000
Number of objects, 2869
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
38,311.18010,253.21207,0.00000,0.00000,0.0000,0,1482.06427,2807.71087,893.08700,3.35882,8.40758,8.97775,7.37358,0.87702,n/a,
39,444.12096,340.04405,0.00000,0.00000,0.0000,0,1503.93408,2806.09813,896.01216,3.14499,9.46602,10.40382,7.83641,0.82785,n/a,
40,39.67124,68.77676,0.00000,0.00000,0.0000,0,3022.48078,2193.77638,893.61258,2.98434,4.23148,4.67892,3.46087,0.81789,n/a,
41,131.39340,164.61565,0.00000,0.00000,0.0000,0,2603.88487,1550.13847,897.31759,2.76864,6.30752,7.23870,4.78910,0.75927,n/a,
42,3709.68316,1316.44974,0.00000,0.00000,0.0000,0,1435.50834,2845.39756,905.78123,3.39739,19.20640,20.47044,16.90767,0.88031,n/a,
43,1032.15568,580.79284,0.00000,0.00000,0.0000,0,4062.39751,3528.49215,904.15677,3.25716,12.53859,13.59677,10.66290,0.85041,n/a,
44,693.26199,453.88446,0.00000,0.00000,0.0000,0,2840.27138,1503.08422,904.17232,3.19751,10.98077,12.01981,9.16438,0.83458,n/a,
45,100.86624,122.79174,0.00000,0.00000,0.0000,0,1466.92010,2720.68100,902.18719,3.17445,5.77540,6.25187,4.92865,0.85339,n/a,
46,1444.90541,702.67067,0.00000,0.00000,0.0000,0,1453.16477,2768.38081,907.28135,3.35677,14.02642,14.95550,12.33783,0.87961,n/a,
47,1749.05160,1001.72080,0.00000,0.00000,0.0000,0,1473.77948,2805.11700,911.68146,2.92304,14.94863,17.85659,10.47628,0.70082,n/a,
48,1256.83278,1249.29798,0.00000,0.00000,0.0000,0,3877.70752,2830.21859,909.58928,2.14466,13.38935,19.94151,6.03619,0.45082,n/a,
49,38.40514,77.41055,0.00000,0.00000,0.0000,0,3862.38660,2853.65952,901.91363,2.79580,4.18598,4.96392,2.97674,0.71112,n/a,
50,0.56271,3.89810,0.00000,0.00000,0.0000,0,3328.91939,3475.93791,901.61359,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
51,12788.91112,2930.28180,0.00000,0.00000,0.0000,0,2772.37449,2428.95294,918.85631,3.45985,29.01427,30.54075,26.18638,0.90253,n/a,
52,217.62912,208.42392,0.00000,0.00000,0.0000,0,2844.12260,1480.17219,911.08621,3.12260,7.46287,8.14515,6.26499,0.83949,n/a,
53,688.33825,439.83033,0.00000,0.00000,0.0000,0,2802.48043,1553.15558,913.92646,3.26960,10.95472,11.83226,9.39005,0.85717,n/a,
54,161.35785,195.80343,0.00000,0.00000,0.0000,0,3867.11927,2836.68757,914.26613,2.73928,6.75456,7.89469,4.94449,0.73202,n/a,
55,386.44291,342.68075,0.00000,0.00000,0.0000,0,1520.08175,2903.46335,923.31144,3.12469,9.03710,10.44407,6.76623,0.74872,n/a,
56,150.66631,157.48246,0.00000,0.00000,0.0000,0,1559.46177,2821.61058,922.79993,3.27338,6.60195,7.08013,5.74031,0.86949,n/a,
57,187.80535,182.18010,0.00000,0.00000,0.0000,0,1508.18181,2907.21872,930.80579,3.29212,7.10509,7.61510,6.18526,0.87054,n/a,
58,799.19264,485.20146,0.00000,0.00000,0.0000,0,2827.06313,1507.01978,933.67091,3.25376,11.51377,12.42757,9.88281,0.85835,n/a,
59,202.71723,196.81261,0.00000,0.00000,0.0000,0,1477.03993,2841.98112,934.04075,3.19232,7.28837,7.91501,6.18001,0.84793,n/a,
60,107.47812,126.85442,0.00000,0.00000,0.0000,0,2854.02623,1475.43588,934.82611,3.26086,5.89894,6.35445,5.08353,0.86177,n/a,
61,495.04646,353.10599,0.00000,0.00000,0.0000,0,1527.85482,2866.39359,938.22210,3.26072,9.81482,10.60175,8.41186,0.85706,n/a,
62,847.72661,529.10069,0.00000,0.00000,0.0000,0,3106.74140,2118.46305,940.76275,3.12508,11.74228,12.97760,9.61322,0.81868,n/a,
63,1099.68120,669.10403,0.00000,0.00000,0.0000,0,3078.02171,2132.89818,941.27484,2.95498,12.80627,14.59392,9.86108,0.77002,n/a,
64,463.11251,341.25477,0.00000,0.00000,0.0000,0,3078.92956,2150.21881,941.66030,3.21072,9.59907,10.42232,8.14252,0.84826,n/a,
65,2888.40404,1122.34615,0.00000,0.00000,0.0000,0,3090.36342,2167.29436,944.78550,3.35815,17.66932,18.90116,15.44125,0.87390,n/a,
66,5186.66319,1609.32448,0.00000,0.00000,0.0000,0,1930.07972,2646.54619,948.66691,3.43713,21.47648,22.63325,19.33729,0.90039,n/a,
67,125.76628,141.99770,0.00000,0.00000,0.0000,0,2853.43092,1462.61284,942.04725,3.21841,6.21616,6.72304,5.31415,0.85489,n/a,
68,758.81801,488.79810,0.00000,0.00000,0.0000,0,2835.44696,1514.92163,945.28576,3.19155,11.31652,12.47354,9.31450,0.82309,n/a,
69,288.24956,244.65591,0.00000,0.00000,0.0000,0,1700.60436,2636.26070,944.90476,3.30797,8.19577,8.82476,7.06910,0.86253,n/a,
70,0.56271,3.89810,0.00000,0.00000,0.0000,0,3876.48838,2770.84908,940.61850,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
71,402.76158,310.50680,0.00000,0.00000,0.0000,0,2861.99152,1485.25855,947.47651,3.23270,9.16255,9.94170,7.78266,0.84940,n/a,
72,107.33744,123.66863,0.00000,0.00000,0.0000,0,3035.63244,2146.64544,944.57734,3.36309,5.89636,6.27415,5.20766,0.88320,n/a,
73,452.13962,332.80623,0.00000,0.00000,0.0000,0,1914.37948,2615.49972,950.26865,3.25102,9.52265,10.29250,8.15140,0.85600,n/a,
74,0.56271,3.89810,0.00000,0.00000,0.0000,0,3874.98819,2766.34852,946.61926,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
75,1850.90259,949.70084,0.00000,0.00000,0.0000,0,2103.21976,2934.34840,963.15326,3.58316,15.23333,17.38675,11.69359,0.76763,n/a,
76,0.56271,3.89810,0.00000,0.00000,0.0000,0,3873.48800,2764.84833,948.11945,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
77,680.74163,428.96200,0.00000,0.00000,0.0000,0,1561.05381,2825.70599,955.44180,3.36554,10.91427,11.68515,9.52171,0.87241,n/a,
78,0.56271,3.89810,0.00000,0.00000,0.0000,0,3873.48800,2761.84795,951.11983,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
79,477.74304,348.92939,0.00000,0.00000,0.0000,0,2828.97386,1433.11344,959.40610,3.24962,9.69911,10.53886,8.21501,0.84699,n/a,
80,1640.16670,772.99975,0.00000,0.00000,0.0000,0,3105.50895,2155.97081,962.07694,3.35187,14.63176,15.68609,12.73092,0.87009,n/a,
