File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc03__rec00002286.bmp,3429.43205,14,6769593.11510,57651.08783,0.85162,11162.02290,2362.99445,0.04099,4117.93484,72.40937,0.03759,14,0,0.00000,0.00000,0.00000,6711942.02727,6711942.02727,99.14838,99.14838,2488.81355,3748.97231,29889607257.97474,24381927923.13221,54271535181.10695,2239697339.89219,30685398147.13017,23586137033.97678,70.43927,0.48328,48.79494,5680.87836,0.00017,0.92235,0.00000,
ax13_rc03__rec00002285.bmp,3427.93187,14,6769652.75512,57402.11885,0.84793,11161.50811,2347.11377,0.04089,4100.15135,72.25285,0.03568,13,1,3.37585,7.24355,0.00588,6712247.26042,6712250.63627,99.15202,99.15207,2484.31298,3735.47061,30221630016.90918,23547744175.87233,53769374192.78151,1814261921.96547,30682941218.52264,23086432974.25887,75.73376,0.50128,48.91294,5719.57842,0.00017,0.92116,1.06079,
ax13_rc03__rec00002284.bmp,3426.43168,13,6769781.60009,57032.46321,0.84246,11145.68989,2327.35392,0.04081,4387.11255,74.73851,0.02637,11,2,24.47492,25.60983,0.04290,6712724.66195,6712749.13687,99.15718,99.15754,2478.31223,3721.96891,30420881716.50470,22611968260.06610,53032849976.57080,1327924996.90509,30640520906.17363,22392329070.39718,80.60829,0.51377,49.01056,5768.56753,0.00017,0.93848,1.06079,
ax13_rc03__rec00002283.bmp,3424.93149,13,6769847.14785,56609.07529,0.83619,11147.81147,2320.47438,0.04099,4354.54425,74.46058,0.03002,12,1,36.00907,24.73104,0.06357,6713202.06349,6713238.07256,99.16327,99.16381,2472.31147,3706.96702,30615143635.37397,21603857750.87278,52219001386.24674,801663450.00829,30685905680.67985,21533095705.56690,84.95563,0.55049,48.79095,5786.09110,0.00017,0.92313,2.56098,
ax13_rc03__rec00002282.bmp,3423.43130,12,6769912.13297,56120.13960,0.82896,11165.75129,2279.28542,0.04061,4676.67830,77.16561,0.03186,12,0,0.00000,0.00000,0.00000,6713791.99337,6713791.99337,99.17104,99.17104,2464.81053,3691.96513,30712596833.33062,20478651020.93700,51191247854.26762,212829517.09025,30717021014.46233,20474226839.80529,88.80914,0.58198,49.24363,5891.13758,0.00017,0.94139,1.06079,
ax13_rc03__rec00002281.bmp,3421.93111,12,6770031.13171,55692.25055,0.82263,11163.62970,2260.19113,0.04058,4641.02088,76.87087,0.03269,12,0,0.00000,0.00000,0.00000,6714338.88116,6714338.88116,99.17737,99.17737,2458.80977,3678.46343,30824354807.36146,19503371505.36423,50327726312.72569,-319472257.64686,30833362980.37122,19494363332.35447,91.61514,0.60991,49.28101,5941.39034,0.00017,0.93986,0.00000,
ax13_rc03__rec00002280.bmp,3420.43092,13,6770119.74778,55126.23294,0.81426,11149.93306,2254.91839,0.04090,4240.47946,73.47888,0.03618,13,0,0.00000,0.00000,0.00000,6714993.51485,6714993.51485,99.18574,99.18574,2451.30883,3664.96173,30849448975.55322,18534520222.92149,49383969198.47472,-801396682.56498,30901381042.40517,18482588156.06955,93.70769,0.62557,48.89422,5955.86390,0.00017,0.91868,0.00000,
ax13_rc03__rec00002279.bmp,3418.93073,13,6770246.06086,54601.85082,0.80650,11149.05427,2245.91726,0.04113,4200.14237,73.12857,0.03715,13,0,0.00000,0.00000,0.00000,6715644.21004,6715644.21004,99.19350,99.19350,2446.80826,3652.96022,30848784211.51621,17648369423.81488,48497153635.33109,-1247526585.83887,30965649113.25800,17531504522.07309,95.35169,0.65819,48.62321,5980.31312,0.00017,0.91547,3.00038,
ax13_rc03__rec00002278.bmp,3417.43054,14,6770306.82617,54016.70339,0.79785,11169.11567,2261.13238,0.04186,3858.33596,70.08984,0.03773,14,0,0.00000,0.00000,0.00000,6716290.12278,6716290.12278,99.20215,99.20215,2440.80750,3639.45851,30800137416.41768,16732771448.53270,47532908864.95039,-1702670530.22938,31003289600.77313,16529619264.17726,96.80402,0.68308,47.77845,5940.64301,0.00017,0.91551,6.00076,
ax13_rc03__rec00002277.bmp,3415.93035,15,6770374.62450,53280.48665,0.78697,11165.23651,2241.31007,0.04207,3552.03244,67.25019,0.03927,15,0,0.00000,0.00000,0.00000,6717094.13785,6717094.13785,99.21303,99.21303,2434.80675,3625.95681,30649528752.98343,15747521000.41304,46397049753.39647,-2193540777.93177,30965704539.15400,15431345214.24247,98.20209,0.70836,47.54406,5993.89992,0.00017,0.91128,10.06193,
