File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc05_meghan__rec00002610.bmp,1565.95563,7,1015263.24597,15828.30302,1.55903,3768.12275,983.00375,0.06210,2261.18615,53.65661,0.04639,7,0,0.00000,0.00000,0.00000,999434.94295,999434.94295,98.44097,98.44097,586.18339,787.77768,1239791702.53647,993842157.09328,2233633859.62975,-493646229.84600,1625550057.26688,608083802.36287,128.00574,0.78949,32.20395,2033.43058,0.00048,0.98691,0.00000,
ax13_rc05_meghan__rec00002609.bmp,1565.35565,7,1015263.24597,15518.58558,1.52853,3768.12275,977.56126,0.06299,2216.94080,53.12906,0.03619,6,1,4.00477,7.84242,0.02580,999740.65562,999744.66039,98.47108,98.47147,584.38344,787.17770,1220462237.77361,960149829.52688,2180612067.30049,-481771264.74586,1589349307.33162,591262759.96887,127.44089,0.78911,31.74959,2045.38518,0.00048,0.98752,0.00000,
ax13_rc05_meghan__rec00002608.bmp,1564.75566,8,1015263.24597,15205.13334,1.49765,3768.12275,982.94345,0.06465,1900.64167,49.19321,0.04494,7,1,12.46429,13.63637,0.08191,1000045.64834,1000058.11263,98.50112,98.50235,582.58349,787.17770,1200515369.05671,926819601.57575,2127334970.63246,-468753068.39559,1551987853.94172,575347116.69074,126.86268,0.78728,30.93796,2034.82330,0.00048,0.96951,0.00000,
ax13_rc05_meghan__rec00002607.bmp,1564.15568,8,1015779.09674,14874.85206,1.46438,3769.32272,979.13767,0.06583,1859.35651,48.65600,0.04505,7,1,21.10380,17.23626,0.14167,1000883.14088,1000904.24468,98.53354,98.53562,580.78354,787.17770,1182577899.79479,887430007.51537,2070007907.31017,-452742743.91109,1511190956.56821,558816950.74195,125.97317,0.78750,30.38358,2044.46071,0.00048,0.96909,0.00000,
ax13_rc05_meghan__rec00002606.bmp,1563.55570,9,1015779.09674,14544.43578,1.43185,3769.32272,960.20439,0.06602,1616.04842,45.36096,0.05917,9,0,0.00000,0.00000,0.00000,1001234.66096,1001234.66096,98.56815,98.56815,579.58358,787.17770,1162869834.72057,851294311.57483,2014164146.29540,-437367868.58287,1471366984.73174,542797161.56366,125.19721,0.79100,30.29446,2085.46153,0.00047,0.96700,0.00000,
ax13_rc05_meghan__rec00002605.bmp,1562.95572,8,1015779.09674,14232.96343,1.40119,3769.32272,935.62275,0.06574,1779.12043,47.59461,0.05456,8,0,0.00000,0.00000,0.00000,1001546.13331,1001546.13331,98.59881,98.59881,578.38361,787.17770,1142311777.41925,820447493.86818,1962759271.28742,-423577542.77845,1434498923.47274,528260347.81468,124.59822,0.78811,30.42458,2140.91872,0.00046,0.95330,0.42425,
ax13_rc05_meghan__rec00002604.bmp,1562.35573,9,1015779.09674,13932.02049,1.37156,3769.32272,926.14363,0.06648,1548.00228,44.39569,0.05865,9,0,0.00000,0.00000,0.00000,1001847.07625,1001847.07625,98.62844,98.62844,578.38361,786.57771,1122029462.81004,791107662.51819,1913137125.32823,-409782373.68682,1398494917.68438,514642207.64384,124.00613,0.79222,30.08609,2163.48101,0.00046,0.94815,1.44849,
ax13_rc05_meghan__rec00002603.bmp,1561.75575,10,1015779.09674,13622.75301,1.34111,3769.32272,918.59237,0.06743,1362.27530,41.64736,0.05998,10,0,0.00000,0.00000,0.00000,1002156.34373,1002156.34373,98.65889,98.65889,577.78363,785.97773,1100858154.38338,760544757.50724,1861402911.89062,-395424137.67839,1361182060.24943,500220851.64118,123.35855,0.79113,29.66006,2181.93919,0.00045,0.94887,2.47272,
ax13_rc05_meghan__rec00002602.bmp,1561.15577,7,1016333.82530,13307.18589,1.30933,3770.52269,896.47096,0.06737,1901.02656,49.19819,0.05067,7,0,0.00000,0.00000,0.00000,1003026.63941,1003026.63941,98.69067,98.69067,577.18365,784.77776,1078762287.12327,729157247.19420,1807919534.31747,-380177110.07958,1322398001.56665,485521532.75082,122.65370,0.78787,29.68794,2237.72254,0.00044,0.97105,0.00000,
ax13_rc05_meghan__rec00002601.bmp,1560.55578,7,1016333.82530,12980.50441,1.27719,3770.52269,873.50105,0.06729,1854.35777,48.59055,0.05132,7,0,0.00000,0.00000,0.00000,1003353.32090,1003353.32090,98.72281,98.72281,576.58366,783.57780,1056121870.75091,695880638.22038,1752002508.97129,-364535366.51429,1282608521.81308,469393987.15821,121.85278,0.78893,29.72064,2297.31451,0.00043,0.96403,0.00000,
