Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ReconstructedAnalysis_20160615\VOI\ax13_rc06__rec0000
Number of objects, 1465
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
38,39660.62056,6767.92155,0.00000,0.00000,0.0000,0,1923.40179,1350.42360,58.19542,3.15477,42.31103,46.41440,35.16053,0.83100,n/a,
39,635.86808,434.97625,0.00000,0.00000,0.0000,0,2100.93317,919.50691,42.71017,3.17260,10.66898,11.76679,8.77107,0.82211,n/a,
40,8240.45982,2301.55166,0.00000,0.00000,0.0000,0,859.18261,2159.89451,48.64651,3.31793,25.06019,27.06671,21.48236,0.85723,n/a,
41,231462.31100,21209.90704,0.00000,0.00000,0.0000,0,1146.90748,2299.87461,73.67893,3.31949,76.17759,82.16644,65.47760,0.85954,n/a,
42,0.05717,0.84871,0.00000,0.00000,0.0000,0,1244.60212,2384.90405,37.80006,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
43,302.42750,265.99132,0.00000,0.00000,0.0000,0,1756.58892,1461.98061,43.77898,3.18843,8.32800,9.20150,6.82190,0.81915,n/a,
44,321.59272,282.01057,0.00000,0.00000,0.0000,0,1445.09480,1779.32296,44.18161,3.16636,8.50033,9.47453,6.84214,0.80493,n/a,
45,0.05717,0.84871,0.00000,0.00000,0.0000,0,1243.90211,2385.60406,39.20007,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
46,301734.17698,25427.36674,10.00708,19.09500,0.0033,1,482.98278,1876.05077,81.06244,3.06098,83.21634,89.96545,71.19908,0.85559,n/a,
47,568557.98464,38983.83840,0.00000,0.00000,0.0000,0,1590.64519,2299.59287,94.23293,3.39681,102.78397,111.39543,87.50672,0.85137,n/a,
48,3662.12964,1406.56862,0.00000,0.00000,0.0000,0,1467.37323,992.80877,58.19540,3.27906,19.12398,21.15951,15.62155,0.81686,n/a,
49,38176.73783,6425.60581,0.00000,0.00000,0.0000,0,1115.92230,400.59645,69.08238,3.23720,41.77663,45.22537,35.64807,0.85330,n/a,
50,1029.97709,685.46212,0.00000,0.00000,0.0000,0,282.58250,1932.01485,57.37441,2.62150,12.52977,14.77123,9.01561,0.71954,n/a,
51,673.22525,433.60447,0.00000,0.00000,0.0000,0,793.44198,2157.23406,54.73614,3.39906,10.87395,11.74822,9.31575,0.85670,n/a,
52,768.70980,474.16419,0.00000,0.00000,0.0000,0,1164.48109,1757.79188,58.30948,3.29780,11.36548,12.28540,9.72713,0.85585,n/a,
53,64378.26987,9163.95911,0.00000,0.00000,0.0000,0,1734.46051,305.02575,79.33029,3.25539,49.72562,54.00906,42.15095,0.84767,n/a,
54,34158.74388,6097.80241,0.00000,0.00000,0.0000,0,1856.23886,525.05074,74.42267,3.28673,40.25635,44.05668,33.61087,0.83492,n/a,
55,14560.32422,3400.60098,0.00000,0.00000,0.0000,0,985.46025,1819.79501,70.47003,3.32703,30.29638,32.90053,25.69015,0.84796,n/a,
56,3386.92790,1250.98296,0.00000,0.00000,0.0000,0,601.15336,1333.35489,68.71731,3.35209,18.63241,19.95496,16.24448,0.87184,n/a,
57,53864.92468,8476.59517,0.00000,0.00000,0.0000,0,1327.10767,1048.24607,83.78061,2.92520,46.85642,51.94405,38.12728,0.81370,n/a,
58,175508.62000,32245.78439,146.01442,204.55151,0.0831,9,1333.26028,1430.54203,97.01011,-3.05898,69.46509,101.31215,32.65704,0.47012,n/a,
59,72659.33252,9751.25840,0.00000,0.00000,0.0000,0,515.49123,2131.40374,86.67133,3.35679,51.77232,55.71285,44.70767,0.86354,n/a,
60,1294.63152,670.87680,0.00000,0.00000,0.0000,0,2209.81319,799.96284,70.27459,3.29549,13.52226,14.61324,11.57856,0.85626,n/a,
61,956.74621,555.33181,0.00000,0.00000,0.0000,0,1742.38495,1202.22127,69.75192,3.24954,12.22548,13.29540,10.33702,0.84553,n/a,
62,2478.40201,1047.51109,0.00000,0.00000,0.0000,0,2149.54422,1708.14400,77.24286,3.30855,16.79027,18.26015,14.19595,0.84549,n/a,
63,328.22695,649.94089,0.00000,0.00000,0.0000,0,350.16793,831.81894,79.18031,1.61647,8.55839,14.38341,3.03006,0.35405,n/a,
64,0.74317,4.60058,0.00000,0.00000,0.0000,0,350.70060,827.05141,69.65012,3.02012,1.12382,1.21013,0.96923,0.86244,n/a,
65,0.05717,0.84871,0.00000,0.00000,0.0000,0,351.40060,826.00140,70.00012,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
66,0.05717,0.84871,0.00000,0.00000,0.0000,0,346.50059,832.30141,70.00012,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
67,280.38821,315.51180,0.00000,0.00000,0.0000,0,171.46920,1354.39894,75.68500,2.38432,8.12058,10.02150,5.33206,0.65661,n/a,
68,0.40017,3.62058,0.00000,0.00000,0.0000,0,347.20059,832.30141,71.40012,2.49284,0.91428,1.07353,0.66316,0.72533,n/a,
69,0.22867,2.23464,0.00000,0.00000,0.0000,0,346.50059,833.00142,71.75012,2.64967,0.75870,0.84339,0.61397,0.80924,n/a,
70,111340.28292,13232.83289,1.05759,5.29334,0.0009,1,937.42899,557.16100,102.63413,3.11062,59.68766,64.90101,50.48365,0.84580,n/a,
71,0.05717,0.84871,0.00000,0.00000,0.0000,0,352.80060,825.30140,72.10012,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
72,0.05717,0.84871,0.00000,0.00000,0.0000,0,345.10059,835.10142,72.10012,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
73,0.05717,0.84871,0.00000,0.00000,0.0000,0,344.40059,835.80142,72.10012,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
74,1526.80083,739.20296,0.00000,0.00000,0.0000,0,747.20496,2263.99786,80.83856,3.34972,14.28657,15.33935,12.39281,0.86745,n/a,
75,0.22867,2.23464,0.00000,0.00000,0.0000,0,347.20059,833.00142,74.55013,2.64967,0.75870,0.84339,0.61397,0.80924,n/a,
76,0.22867,2.23464,0.00000,0.00000,0.0000,0,346.50059,833.70142,74.55013,2.64967,0.75870,0.84339,0.61397,0.80924,n/a,
77,0.22867,2.23464,0.00000,0.00000,0.0000,0,345.10059,835.80142,74.55013,2.64967,0.75870,0.84339,0.61397,0.80924,n/a,
78,0.05717,0.84871,0.00000,0.00000,0.0000,0,354.90060,823.20140,74.90013,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
79,0.05717,0.84871,0.00000,0.00000,0.0000,0,345.80059,835.10142,74.90013,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
80,0.05717,0.84871,0.00000,0.00000,0.0000,0,341.60058,840.70143,77.00013,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
81,0.57167,5.00651,0.00000,0.00000,0.0000,0,342.30058,840.70143,79.45014,2.40431,1.02971,1.26239,0.68511,0.66534,n/a,
82,387424.19169,31184.38662,0.00000,0.00000,0.0000,0,2308.71297,969.76043,124.44350,2.80408,90.44739,99.63081,74.54196,0.82415,n/a,
83,1975.34707,906.89300,0.00000,0.00000,0.0000,0,1566.65519,861.41294,87.22869,3.21513,15.56736,16.99038,13.06889,0.83951,n/a,
84,2957.10383,1181.61805,0.00000,0.00000,0.0000,0,1437.60661,372.25845,90.79444,3.25245,17.80831,19.39383,15.01553,0.84318,n/a,
85,0.05717,0.84871,0.00000,0.00000,0.0000,0,355.60060,823.90140,80.50014,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
86,82165.31015,15127.75687,0.00000,0.00000,0.0000,0,247.39415,1584.82497,123.09248,2.20652,53.93822,69.39247,32.58856,0.60418,n/a,
87,12948.73050,3187.62530,0.00000,0.00000,0.0000,0,2100.03081,1834.77807,97.38191,3.28367,29.13463,31.85361,24.37312,0.83657,n/a,
88,1877.87741,874.91722,0.00000,0.00000,0.0000,0,1529.96990,1632.76837,93.10334,3.26597,15.30698,16.68816,12.87809,0.84132,n/a,
89,344109.33054,27784.26267,0.00000,0.00000,0.0000,0,581.50749,2036.92493,127.57541,3.29082,86.94260,94.04257,74.31027,0.85470,n/a,
90,2537.16965,1047.31945,0.00000,0.00000,0.0000,0,1972.73179,1640.74564,93.92058,3.28704,16.92195,18.25848,14.53522,0.85896,n/a,
91,4184.36409,1508.30458,0.00000,0.00000,0.0000,0,1729.38178,1060.17681,98.09362,3.18375,19.99295,21.91137,16.64530,0.83256,n/a,
92,104540.73057,12466.20574,0.00000,0.00000,0.0000,0,488.99041,1230.71926,118.45031,3.32594,58.44701,62.99299,50.31558,0.86088,n/a,
93,365.53982,331.65506,0.00000,0.00000,0.0000,0,845.39286,355.77238,97.05155,3.12130,8.87112,10.27468,6.61301,0.74545,n/a,
94,2716.17369,1139.86901,0.00000,0.00000,0.0000,0,1642.86898,366.41699,100.92670,3.44359,17.31090,19.04814,14.29729,0.82591,n/a,
95,1415.26809,705.00843,0.00000,0.00000,0.0000,0,1868.88840,2192.32507,99.02628,3.32947,13.92986,14.98036,12.04469,0.86467,n/a,
96,131635.52207,15248.35023,0.00000,0.00000,0.0000,0,1174.30326,1705.29570,124.35122,3.11435,63.11387,69.66851,51.79663,0.82069,n/a,
97,2480.37427,1053.93307,0.00000,0.00000,0.0000,0,2080.27154,504.04097,101.34629,3.35746,16.79472,18.31604,14.12067,0.84078,n/a,
98,326202.08386,27583.56272,0.00000,0.00000,0.0000,0,2234.63741,1128.16842,135.30387,3.17104,85.40751,93.70230,70.95575,0.83079,n/a,
99,56601.21971,8459.43045,0.00000,0.00000,0.0000,0,2447.06277,852.80518,119.10774,3.31043,47.63678,51.89143,40.14541,0.84274,n/a,
100,220.86454,212.47708,0.00000,0.00000,0.0000,0,1272.19561,538.17500,102.56405,3.24251,7.49968,8.22396,6.23685,0.83162,n/a,
101,1397.23192,725.20887,0.00000,0.00000,0.0000,0,1801.98986,864.21043,107.65406,3.21026,13.87043,15.19346,11.55997,0.83343,n/a,
102,2493.89426,1014.09058,0.00000,0.00000,0.0000,0,879.87655,358.21956,108.97453,3.35888,16.82518,17.96650,14.75545,0.87699,n/a,
103,8390.53880,2422.85012,0.00000,0.00000,0.0000,0,1178.96108,933.38972,114.98862,3.05976,25.21141,27.77080,20.77852,0.82417,n/a,
104,2260.56732,977.56996,0.00000,0.00000,0.0000,0,855.65581,386.22248,109.44724,3.33029,16.28319,17.64002,13.87461,0.85208,n/a,
105,15776.05104,3531.31730,0.00000,0.00000,0.0000,0,689.19068,2208.37832,118.45807,3.35298,31.11716,33.52690,26.80481,0.86142,n/a,
106,497.93850,365.32512,0.00000,0.00000,0.0000,0,913.72758,1572.80492,109.35182,3.19590,9.83390,10.78363,8.17801,0.83161,n/a,
107,1318.99894,673.63635,0.00000,0.00000,0.0000,0,436.01096,2061.92709,113.72367,3.32295,13.60657,14.64326,11.74817,0.86342,n/a,
108,600.96765,419.84345,0.00000,0.00000,0.0000,0,847.09324,359.35109,113.86871,3.24258,10.47010,11.56029,8.58845,0.82028,n/a,
109,1561.37255,752.96255,0.00000,0.00000,0.0000,0,883.48764,1479.06549,115.37519,3.31918,14.39360,15.48145,12.44183,0.86440,n/a,
110,442.30076,330.45171,0.00000,0.00000,0.0000,0,1790.04090,2215.49250,113.00004,3.28764,9.45307,10.25602,8.03084,0.84955,n/a,
111,600.12444,424.58740,0.00000,0.00000,0.0000,0,1304.18229,2034.11744,114.07760,3.15407,10.46520,11.62542,8.48058,0.81036,n/a,
112,481.34579,408.06439,0.00000,0.00000,0.0000,0,885.79989,376.21033,115.37288,2.99277,9.72343,11.39697,7.07750,0.72788,n/a,
113,1.02901,5.91651,0.00000,0.00000,0.0000,0,884.66150,323.26055,111.30019,3.00420,1.25258,1.37233,1.04353,0.83310,n/a,
114,0.48592,3.57335,0.00000,0.00000,0.0000,0,883.63484,324.10055,110.83352,2.92150,0.97541,1.06651,0.81590,0.83647,n/a,
115,0.48592,3.57335,0.00000,0.00000,0.0000,0,882.23483,324.80055,110.83352,2.92150,0.97541,1.06651,0.81590,0.83647,n/a,
116,0.48592,3.57335,0.00000,0.00000,0.0000,0,881.06816,325.50055,111.06686,2.92150,0.97541,1.06651,0.81590,0.83647,n/a,
117,63607.67357,8996.30319,0.00000,0.00000,0.0000,0,1051.55408,404.07871,135.34838,3.30843,49.52642,53.51273,42.42254,0.85656,n/a,
118,151.72111,169.98133,0.00000,0.00000,0.0000,0,2368.31573,1941.91765,114.97017,3.03364,6.61732,7.35573,5.35545,0.80931,n/a,
119,3211.28242,1267.28778,0.00000,0.00000,0.0000,0,2287.88551,1803.25426,122.36525,3.25632,18.30459,20.08458,15.20388,0.83061,n/a,
120,0.05717,0.84871,0.00000,0.00000,0.0000,0,883.40150,323.40055,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
121,0.05717,0.84871,0.00000,0.00000,0.0000,0,881.30150,324.80055,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
122,0.05717,0.84871,0.00000,0.00000,0.0000,0,2327.50396,630.00107,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
123,0.05717,0.84871,0.00000,0.00000,0.0000,0,2336.60397,640.50109,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
124,0.05717,0.84871,0.00000,0.00000,0.0000,0,2337.30397,641.20109,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
125,0.05717,0.84871,0.00000,0.00000,0.0000,0,2338.00397,641.90109,112.70019,2.54034,0.47795,0.51976,0.40415,0.84558,n/a,
126,7951.87387,3575.56842,0.00000,0.00000,0.0000,0,2329.90990,638.25110,134.20321,2.08322,24.76416,33.73631,13.34368,0.53883,n/a,
127,723.61936,502.86026,0.00000,0.00000,0.0000,0,868.09345,361.71174,126.53794,3.38169,11.13877,12.65170,8.63404,0.77513,n/a,
128,594.59353,412.42951,0.00000,0.00000,0.0000,0,820.22999,364.98150,120.85489,3.23661,10.43295,11.45777,8.65011,0.82911,n/a,
129,1586.91188,778.20336,0.00000,0.00000,0.0000,0,847.45260,391.58398,126.15361,3.23882,14.47165,15.73880,12.23520,0.84546,n/a,
130,321.56414,269.31251,0.00000,0.00000,0.0000,0,1336.06501,1993.40518,120.95136,3.22837,8.50008,9.25877,7.16411,0.84283,n/a,
131,254.45013,229.94995,0.00000,0.00000,0.0000,0,836.40301,378.32465,121.72222,3.23474,7.86203,8.55543,6.63927,0.84447,n/a,
132,1031.20618,580.56340,0.00000,0.00000,0.0000,0,795.88909,453.88901,124.64023,3.26787,12.53475,13.59408,10.65730,0.85022,n/a,
133,5304.62210,1772.31111,0.00000,0.00000,0.0000,0,2143.32164,1425.19023,130.78173,3.23107,21.63807,23.75172,17.95832,0.82994,n/a,
134,952.34436,556.41650,0.00000,0.00000,0.0000,0,2135.81629,695.80018,127.09803,3.20447,12.20671,13.30838,10.26940,0.84129,n/a,
135,535.08273,402.14785,0.00000,0.00000,0.0000,0,899.34893,367.56362,130.45263,3.23070,10.07258,11.31405,7.98337,0.79258,n/a,
