File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc04__rec00002432.bmp,2128.00486,39,4637978.77243,26577.54923,0.57304,8245.40710,3081.41367,0.11594,681.47562,29.45644,0.07335,39,0,0.00000,0.00000,0.00000,4611401.22320,4611401.22320,99.42696,99.42696,1997.62957,1712.37891,9099155047.00604,7225358659.49311,16324513706.49915,-1496907652.36548,9928187413.93832,6396326292.56083,118.97900,0.59317,17.25023,2993.04262,0.00033,0.85213,0.00000,
ax13_rc04__rec00002431.bmp,2127.12986,39,4637978.77243,26571.90272,0.57292,8245.40710,3041.55177,0.11446,681.33084,29.45331,0.07500,39,0,0.00000,0.00000,0.00000,4611406.86971,4611406.86971,99.42708,99.42708,1987.12954,1718.50393,9118406949.34846,7144972959.88822,16263379909.23668,-1436485835.15381,9874418270.30234,6388961638.93434,117.75748,0.59096,17.47260,3032.27248,0.00033,0.84110,0.00000,
ax13_rc04__rec00002430.bmp,2126.25486,42,4637978.77243,26572.57265,0.57293,8245.40710,3050.08948,0.11478,632.68030,28.38228,0.08042,42,0,0.00000,0.00000,0.00000,4611406.19978,4611406.19978,99.42707,99.42707,1978.37952,1723.75394,9118035948.80001,7104375848.57742,16222411797.37743,-1418393035.28169,9850615439.98218,6371796357.39526,117.31570,0.58576,17.42413,3023.78420,0.00033,0.83127,0.00000,
ax13_rc04__rec00002429.bmp,2125.37986,42,4637978.77243,26468.63858,0.57069,8245.40710,3003.61576,0.11348,630.20568,28.32672,0.07938,42,0,0.00000,0.00000,0.00000,4611510.13385,4611510.13385,99.42931,99.42931,1967.87950,1729.00395,9097847498.41724,6984573273.91317,16082420772.33041,-1365694674.26744,9767942539.77525,6314478232.55517,116.13545,0.58694,17.62452,3070.63919,0.00032,0.82818,0.00000,
ax13_rc04__rec00002428.bmp,2124.50486,43,4637978.77243,26308.14370,0.56723,8245.40710,2925.30530,0.11119,611.81730,27.91039,0.07998,43,0,0.00000,0.00000,0.00000,4611670.62873,4611670.62873,99.43277,99.43277,1959.12948,1736.87897,8933426601.10975,6833277277.80054,15766703878.91029,-1267216348.28543,9529102245.06377,6237601633.84652,115.17663,0.57940,17.98660,3152.94997,0.00032,0.83342,0.00000,
ax13_rc04__rec00002427.bmp,2123.62985,37,4637978.77243,26251.10438,0.56600,8245.40710,2871.70719,0.10939,709.48931,30.05578,0.07561,37,0,0.00000,0.00000,0.00000,4611727.66805,4611727.66805,99.43400,99.43400,1955.62947,1740.37898,8863782443.10400,6772309399.86551,15636091842.96951,-1237107083.38342,9437922092.18601,6198169750.78350,114.89595,0.58142,18.28258,3211.83697,0.00031,0.85086,0.00000,
ax13_rc04__rec00002426.bmp,2122.75485,37,4637978.77243,26265.45991,0.56631,8245.40710,2848.83277,0.10846,709.87729,30.06400,0.07715,37,0,0.00000,0.00000,0.00000,4611713.31251,4611713.31251,99.43369,99.43369,1954.75447,1743.00398,8807135250.64825,6758771483.63706,15565906734.28531,-1240670510.22696,9391745412.57547,6174161321.70984,115.23005,0.58264,18.43945,3237.61602,0.00031,0.85446,0.00000,
ax13_rc04__rec00002425.bmp,2121.87985,34,4637978.77243,26178.36967,0.56443,8245.40710,2810.63294,0.10736,769.95205,31.31028,0.07343,34,0,0.00000,0.00000,0.00000,4611800.40276,4611800.40276,99.43557,99.43557,1953.87947,1747.37899,8649501317.87231,6700635693.12419,15350137010.99649,-1237552529.86109,9250205188.45526,6099931822.54124,115.89178,0.57994,18.62810,3281.68103,0.00030,0.85828,0.00000,
ax13_rc04__rec00002424.bmp,2121.00485,34,4637978.77243,26060.65429,0.56190,8245.40710,2790.95827,0.10709,766.48983,31.23980,0.07230,34,0,0.00000,0.00000,0.00000,4611918.11814,4611918.11814,99.43810,99.43810,1953.87947,1750.00400,8505175299.50613,6630671118.99000,15135846418.49613,-1256487563.14345,9135469851.94399,6000376566.55214,116.63981,0.57961,18.67506,3304.89937,0.00030,0.85481,0.00000,
ax13_rc04__rec00002423.bmp,2120.12985,34,4637978.77243,25852.78615,0.55741,8245.40710,2750.45944,0.10639,760.37606,31.11496,0.07383,34,0,0.00000,0.00000,0.00000,4612125.98628,4612125.98628,99.44259,99.44259,1953.00446,1753.50401,8314898972.26185,6534365366.88326,14849264339.14511,-1265840517.80374,8972187401.69975,5877076937.44536,117.44062,0.58297,18.79889,3353.71314,0.00030,0.85152,0.00000,
ax13_rc04__rec00002422.bmp,2119.25484,35,4637978.77243,25652.95711,0.55311,8245.40710,2699.88521,0.10525,732.94163,30.54849,0.07383,35,0,0.00000,0.00000,0.00000,4612325.81531,4612325.81531,99.44689,99.44689,1953.87947,1756.12901,8141756958.14311,6477475555.91059,14619232514.05371,-1321712132.61879,8871468077.13207,5747764436.92164,118.90288,0.58471,19.00300,3416.68290,0.00029,0.85534,0.00000,
ax13_rc04__rec00002421.bmp,2118.37984,32,4637978.77243,25404.60637,0.54775,8245.40710,2642.15017,0.10400,793.89395,31.79335,0.07484,32,0,0.00000,0.00000,0.00000,4612574.16606,4612574.16606,99.45225,99.45225,1957.37947,1758.75402,7946430052.76429,6461640354.11137,14408070406.87567,-1388556388.38092,8778595127.99451,5629475278.88116,120.93436,0.59460,19.23025,3491.53067,0.00028,0.84743,0.00000,
