File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc06__rec00002659.bmp,1861.30316,111,4622140.39026,25557.32314,0.55293,8039.18851,5028.60385,0.19676,230.24615,17.12187,-0.00329,56,55,580.52947,699.00210,2.22103,4596002.53765,4596583.06712,99.43451,99.44707,1521.10259,903.70154,6789679642.54367,6332815170.21523,13122494812.75890,-2170528416.84012,8743763132.51512,4378731680.24379,131.99608,0.70149,10.16478,1828.17466,0.00054,0.92769,73.92725,
ax13_rc06__rec00002658.bmp,1860.60316,109,4622140.39026,25832.94908,0.55890,8039.18851,4986.64499,0.19303,236.99953,17.37116,-0.00603,50,59,624.62962,730.38205,2.36087,4595682.81156,4596307.44118,99.42759,99.44110,1523.90259,905.10154,6823282771.62167,6270065335.21899,13093348106.84066,-2208029838.95111,8771962383.65608,4321385723.18457,131.42976,0.70824,10.36085,1843.44683,0.00054,0.92704,74.42222,
ax13_rc06__rec00002657.bmp,1859.90316,112,4622140.39026,26054.36858,0.56369,8039.18851,4938.17859,0.18953,232.62829,17.21022,-0.00542,61,51,496.24919,630.48440,1.86907,4595589.77249,4596086.02168,99.42558,99.43631,1526.70260,908.60154,6875136206.79180,6195271877.07455,13070408083.86635,-2242598482.93306,8803419603.19695,4266988480.66941,130.69037,0.71469,10.55222,1861.44990,0.00053,0.92915,74.42222,
ax13_rc06__rec00002656.bmp,1859.20316,109,4622140.39026,26376.66718,0.57066,8039.18851,4914.53633,0.18632,241.98777,17.55302,-0.00894,58,51,501.76171,637.68341,1.86678,4595261.96138,4595763.72308,99.41849,99.42934,1528.80260,912.10155,6942998465.93775,6151207690.25042,13094206156.18817,-2280872231.40674,8862078519.45804,4232127636.73012,130.07658,0.71872,10.73414,1870.27358,0.00053,0.92910,74.42222,
ax13_rc06__rec00002655.bmp,1858.50316,101,4622140.39026,26644.02434,0.57644,8039.18851,4868.38954,0.18272,263.80222,18.32712,-0.01402,44,57,553.88563,690.33274,2.03650,4594942.48029,4595496.36592,99.41157,99.42356,1531.60260,914.90156,7000687064.84049,6090672705.58882,13091359770.42932,-2308914798.89010,8899000747.75014,4192359022.67917,129.42592,0.72491,10.94572,1887.89181,0.00053,0.92813,72.73227,
ax13_rc06__rec00002654.bmp,1857.80316,103,4622140.39026,26950.70413,0.58308,8039.18851,4811.34121,0.17852,261.65732,18.25246,0.00348,57,46,524.17928,642.36382,1.90785,4594665.50685,4595189.68613,99.40558,99.41692,1532.30260,917.70156,7050707199.31970,6043916153.88191,13094623353.20161,-2338629767.84597,8939506535.58465,4155116817.61697,128.92615,0.72819,11.20299,1910.14916,0.00052,0.92439,71.74232,
ax13_rc06__rec00002653.bmp,1857.10316,104,4622140.39026,27292.66404,0.59048,8039.18851,4787.85172,0.17543,262.42946,18.27938,-0.00263,61,43,557.98940,652.40404,2.00351,4594289.73682,4594847.72622,99.39745,99.40952,1532.30260,920.50156,7121447256.14754,6007454320.86082,13128901577.00836,-2375338873.91043,9004221234.85303,4124680342.15533,128.40153,0.73237,11.40080,1919.37762,0.00052,0.93010,71.74232,
ax13_rc06__rec00002652.bmp,1856.40316,94,4622140.39026,27688.52414,0.59904,8039.18851,4709.56315,0.17009,294.55877,19.36605,0.00375,52,42,557.07064,641.85427,1.97224,4593894.79548,4594451.86612,99.38891,99.40096,1531.60260,924.70157,7229879794.93029,5977832235.91918,13207712030.84947,-2426870467.93780,9110169252.16412,4097542778.68535,127.76779,0.73688,11.75843,1951.11594,0.00051,0.93063,72.44232,
ax13_rc06__rec00002651.bmp,1855.70315,86,4622140.39026,28044.02035,0.60673,8039.18851,4646.44648,0.16568,326.09326,20.37633,-0.00894,46,40,543.71810,640.69447,1.90193,4593552.65182,4594096.36991,99.38150,99.39327,1531.60260,928.90158,7335038875.45046,5939955311.03521,13274994186.48566,-2480720968.53366,9214421822.76987,4060572363.71580,127.14740,0.74453,12.07117,1977.46660,0.00050,0.93419,71.94734,
ax13_rc06__rec00002650.bmp,1855.00315,83,4622140.39026,28422.97539,0.61493,8039.18851,4535.22018,0.15956,342.44549,20.88098,-0.00949,42,41,592.77952,672.00407,2.04296,4593124.63536,4593717.41488,99.37224,99.38507,1530.20260,932.40159,7448257657.58772,5936898877.75637,13385156535.34409,-2533071172.09906,9335966416.10250,4049190119.24158,126.69441,0.74565,12.53433,2025.79687,0.00049,0.93498,71.45237,
