Results of individual 3D analysis
Dataset name, G:\Axial\AX13_RC02_highres\AX13_RC02_Rec\ReconstructedAnalysis\VOI\ax13_rc02_rec0000
Number of objects, 12892
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
39,5724.11473,2238.15541,0.00000,0.00000,0.0000,0,346.79282,1981.17337,58.20440,2.95642,22.19405,26.69133,15.34509,0.69141,n/a,
40,1544.83249,1047.14596,0.00000,0.00000,0.0000,0,518.23633,2082.35427,55.14372,2.72961,14.34259,18.25697,8.85167,0.61716,n/a,
41,64.67539,93.99994,0.00000,0.00000,0.0000,0,497.41884,2155.95670,48.99788,3.10597,4.98020,5.47002,4.12822,0.82893,n/a,
42,27.09104,58.32720,0.00000,0.00000,0.0000,0,564.51833,2164.45093,47.75955,2.97572,3.72628,4.30884,2.78680,0.74788,n/a,
43,18.81362,57.83007,0.00000,0.00000,0.0000,0,1777.61554,2167.87776,49.60508,2.41290,3.29983,4.29044,1.95196,0.59153,n/a,
44,279.65957,361.18452,0.00000,0.00000,0.0000,0,658.69617,2222.98217,48.10097,2.24931,8.11354,10.72234,4.64571,0.57259,n/a,
45,652.45799,475.55911,0.00000,0.00000,0.0000,0,662.48483,2244.94453,50.20317,2.94131,10.76097,12.30346,8.23188,0.76498,n/a,
46,99.54205,206.54744,0.00000,0.00000,0.0000,0,1379.62308,2279.04872,53.29549,2.48393,5.75002,8.10840,2.89160,0.50289,n/a,
47,22.54203,71.11166,0.00000,0.00000,0.0000,0,1409.97215,2279.05597,51.00391,2.35138,3.50481,4.75768,1.90197,0.54267,n/a,
48,63.28867,119.24632,0.00000,0.00000,0.0000,0,1427.90350,2285.81287,49.74796,2.65240,4.94435,6.16095,3.18443,0.64406,n/a,
49,72.63829,114.93778,0.00000,0.00000,0.0000,0,1402.18671,2297.40109,49.85081,2.75906,5.17673,6.04862,3.79188,0.73248,n/a,
50,20.92944,55.93816,0.00000,0.00000,0.0000,0,792.86215,2309.86617,48.65499,2.56041,3.41916,4.21968,2.24492,0.65657,n/a,
51,19.55558,58.42065,0.00000,0.00000,0.0000,0,772.32993,1334.22907,50.28669,2.16564,3.34265,4.31229,2.00843,0.60085,n/a,
52,96.58277,160.77915,0.00000,0.00000,0.0000,0,1323.56607,2087.59742,51.12416,2.77572,5.69246,7.15385,3.60430,0.63317,n/a,
53,15.94011,43.08236,0.00000,0.00000,0.0000,0,1448.30317,2309.69523,50.66934,2.97274,3.12246,3.70318,2.21995,0.71096,n/a,
54,19.90012,49.72298,0.00000,0.00000,0.0000,0,1332.92569,401.56772,50.84271,2.60030,3.36216,3.97836,2.40132,0.71422,n/a,
55,123.62806,259.51202,0.00000,0.00000,0.0000,0,1703.30550,420.00487,59.25335,2.36168,6.18073,9.08874,2.85832,0.46246,n/a,
56,39.02825,78.98691,0.00000,0.00000,0.0000,0,1442.66576,454.64254,52.92087,2.93255,4.20850,5.01421,2.96466,0.70445,n/a,
57,22.13030,52.19815,0.00000,0.00000,0.0000,0,1687.41944,571.69240,51.60811,2.79805,3.48334,4.07617,2.54380,0.73028,n/a,
58,33.56858,69.95575,0.00000,0.00000,0.0000,0,1792.17036,1001.61600,51.13858,2.81254,4.00232,4.71886,2.87913,0.71937,n/a,
59,70.10646,137.55771,0.00000,0.00000,0.0000,0,1794.58072,1111.32681,52.17632,2.41950,5.11587,6.61710,3.05791,0.59773,n/a,
60,21.30113,63.26012,0.00000,0.00000,0.0000,0,758.54720,1315.41539,54.13888,2.69576,3.43928,4.48735,2.02034,0.58743,n/a,
61,12.01012,33.55416,0.00000,0.00000,0.0000,0,761.64307,1323.73068,50.52768,2.88526,2.84129,3.26812,2.14759,0.75585,n/a,
62,20.45767,48.04866,0.00000,0.00000,0.0000,0,955.56613,1783.09337,51.11585,2.89536,3.39328,3.91080,2.55462,0.75285,n/a,
63,4863.66334,1818.18002,0.00000,0.00000,0.0000,0,238.31529,1795.36987,61.41731,3.09897,21.02108,24.05711,16.05010,0.76352,n/a,
64,33.28123,71.60273,0.00000,0.00000,0.0000,0,1839.39520,1464.68346,51.59195,2.85630,3.99086,4.77408,2.78882,0.69880,n/a,
65,154.43893,221.17146,0.00000,0.00000,0.0000,0,1889.27236,1627.59156,54.58000,2.43028,6.65660,8.39053,4.18966,0.62940,n/a,
66,40.31347,81.91690,0.00000,0.00000,0.0000,0,1759.36922,1671.57689,52.94432,2.72992,4.25419,5.10636,2.95276,0.69408,n/a,
67,12.35180,35.24176,0.00000,0.00000,0.0000,0,400.08247,1752.33083,51.08816,2.60338,2.86799,3.34930,2.10293,0.73324,n/a,
68,11.82284,34.09273,0.00000,0.00000,0.0000,0,1882.03791,560.91499,52.26036,2.84726,2.82645,3.29425,2.08071,0.73616,n/a,
69,50.12056,123.39472,0.00000,0.00000,0.0000,0,1695.04437,576.12405,53.39360,2.39458,4.57445,6.26720,2.43708,0.53276,n/a,
70,13.81000,45.86298,0.00000,0.00000,0.0000,0,840.99037,1449.65901,53.01585,2.52886,2.97668,3.82082,1.80669,0.60695,n/a,
71,16.06877,42.60967,0.00000,0.00000,0.0000,0,514.69804,2147.92582,52.57143,2.85566,3.13084,3.68281,2.26269,0.72271,n/a,
72,11.73564,34.38998,0.00000,0.00000,0.0000,0,1441.65777,2285.10422,51.50778,2.89053,2.81948,3.30858,2.04751,0.72620,n/a,
73,23.80294,53.51900,0.00000,0.00000,0.0000,0,560.84959,2138.09284,53.21467,2.90827,3.56898,4.12742,2.66854,0.74770,n/a,
74,13.19241,53.13792,0.00000,0.00000,0.0000,0,844.05794,1359.06788,56.77725,2.42155,2.93163,4.11270,1.48960,0.50812,n/a,
75,837.17598,707.97202,0.00000,0.00000,0.0000,0,1335.06998,1374.02364,60.07222,2.74185,11.69336,15.01181,7.09499,0.60675,n/a,
76,71.93779,117.29659,0.00000,0.00000,0.0000,0,224.37936,1729.46363,54.77425,2.77653,5.16004,6.11037,3.67979,0.71313,n/a,
77,55.51161,98.06593,0.00000,0.00000,0.0000,0,569.40807,2083.50362,54.49915,2.68593,4.73291,5.58707,3.39638,0.71761,n/a,
78,21.73001,45.81575,0.00000,0.00000,0.0000,0,1331.31327,2085.43260,53.46925,3.13736,3.46221,3.81885,2.84575,0.82194,n/a,
79,14.39613,48.16961,0.00000,0.00000,0.0000,0,1329.25053,410.15633,55.83429,2.35269,3.01821,3.91572,1.79318,0.59412,n/a,
80,42.27203,78.67346,0.00000,0.00000,0.0000,0,847.31128,1351.74237,55.04381,2.92309,4.32200,5.00425,3.22386,0.74592,n/a,
81,42.01613,83.83319,0.00000,0.00000,0.0000,0,1482.39134,1366.98027,55.13595,2.71657,4.31326,5.16575,3.00712,0.69718,n/a,
82,10.30746,34.97975,0.00000,0.00000,0.0000,0,833.41598,1432.40515,54.91674,2.57612,2.70013,3.33682,1.76802,0.65479,n/a,
83,11.29389,39.88295,0.00000,0.00000,0.0000,0,1288.06203,2042.28433,54.58810,2.58535,2.78365,3.56302,1.69906,0.61037,n/a,
84,31.93740,78.12669,0.00000,0.00000,0.0000,0,510.76012,2154.60337,56.31160,2.68155,3.93641,4.98683,2.45274,0.62309,n/a,
85,36.42637,81.03423,0.00000,0.00000,0.0000,0,555.74231,2168.82230,55.84279,2.75492,4.11281,5.07878,2.69711,0.65578,n/a,
86,67.30729,120.90568,0.00000,0.00000,0.0000,0,780.54942,1347.11478,55.44500,2.44667,5.04686,6.20367,3.34016,0.66183,n/a,
87,41.01397,99.13152,0.00000,0.00000,0.0000,0,289.59991,1433.84315,57.16006,2.33684,4.27869,5.61734,2.48240,0.58018,n/a,
88,37.16261,99.94063,0.00000,0.00000,0.0000,0,773.22058,1488.76913,57.35381,2.24741,4.14034,5.64022,2.23108,0.53886,n/a,
89,10.80782,36.42932,0.00000,0.00000,0.0000,0,1692.07344,419.68356,55.96790,2.28631,2.74313,3.40526,1.78008,0.64892,n/a,
90,39.81167,92.72349,0.00000,0.00000,0.0000,0,801.53806,1381.19197,57.01451,2.56853,4.23647,5.43275,2.57615,0.60809,n/a,
91,9.87858,39.37530,0.00000,0.00000,0.0000,0,1734.36944,409.73644,57.38644,2.29481,2.66215,3.54027,1.50530,0.56544,n/a,
92,12.82357,30.49102,0.00000,0.00000,0.0000,0,1789.08338,1141.21697,55.77238,3.28892,2.90405,3.11538,2.52341,0.86893,n/a,
93,14.89650,39.71195,0.00000,0.00000,0.0000,0,1771.53873,1397.74327,55.97717,2.76088,3.05278,3.55538,2.25068,0.73726,n/a,
94,28.32050,72.55369,0.00000,0.00000,0.0000,0,1897.10984,1635.15991,57.62129,2.36875,3.78182,4.80568,2.34203,0.61929,n/a,
95,29.46561,63.55391,0.00000,0.00000,0.0000,0,287.37569,1728.65030,56.29179,2.75293,3.83212,4.49776,2.78179,0.72591,n/a,
96,42.41356,84.42211,0.00000,0.00000,0.0000,0,1745.05255,407.54177,58.46915,2.69780,4.32682,5.18386,3.01439,0.69668,n/a,
97,99.08458,189.01524,0.00000,0.00000,0.0000,0,852.11047,1372.17029,59.62240,2.49720,5.74120,7.75664,3.14529,0.54785,n/a,
98,9.67129,42.35730,0.00000,0.00000,0.0000,0,1918.60499,902.31471,58.72824,2.10358,2.64339,3.67189,1.36996,0.51826,n/a,
99,84.26099,132.55829,0.00000,0.00000,0.0000,0,399.12262,1785.88033,60.47040,2.76329,5.43930,6.49574,3.81391,0.70118,n/a,
100,38.52789,88.67232,0.00000,0.00000,0.0000,0,1726.35988,412.44471,60.66150,2.72549,4.19043,5.31275,2.60698,0.62213,n/a,
101,339.90604,610.98297,0.00000,0.00000,0.0000,0,1708.97902,419.70921,75.90046,2.19750,8.65871,13.94568,3.33796,0.38550,n/a,
102,11.36537,35.95771,0.00000,0.00000,0.0000,0,1689.52446,570.21742,58.51882,2.77876,2.78951,3.38315,1.89646,0.67985,n/a,
103,18.78217,58.83813,0.00000,0.00000,0.0000,0,1702.01890,584.43768,59.13940,2.16252,3.29799,4.32767,1.91531,0.58075,n/a,
104,66.23223,117.43058,0.00000,0.00000,0.0000,0,819.87024,1409.19962,59.98546,2.60700,5.01984,6.11386,3.38407,0.67414,n/a,
105,20.14172,55.79908,0.00000,0.00000,0.0000,0,1688.82385,579.38775,59.75687,2.65002,3.37572,4.21443,2.16581,0.64159,n/a,
106,22.38906,53.87973,0.00000,0.00000,0.0000,0,1533.85722,1145.88134,60.21589,2.78873,3.49687,4.14131,2.49323,0.71299,n/a,
107,81.03866,170.15353,0.00000,0.00000,0.0000,0,778.90640,1341.05035,63.39751,2.66886,5.36906,7.35945,2.85761,0.53224,n/a,
